Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Albina Khamitovna Akhatova,F,29.0,160.0,55.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 10 kilometres Pursuit,Bronze
Albina Khamitovna Akhatova,F,29.0,160.0,55.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,
Albina Khamitovna Akhatova,F,29.0,160.0,55.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 15 kilometres,Bronze
Albina Khamitovna Akhatova,F,29.0,160.0,55.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
Giorgos Akhilleos,M,19.0,172.0,75.0,Cyprus,CYP,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Men's Skeet,
Giorgos Akhilleos,M,23.0,172.0,75.0,Cyprus,CYP,2004 Summer,2004,Summer,Athina,Shooting,Shooting Men's Skeet,
Giorgos Akhilleos,M,27.0,172.0,75.0,Cyprus,CYP,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Skeet,
Giorgos Akhilleos,M,31.0,172.0,75.0,Cyprus,CYP,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Skeet,
Adkhamdzhon Akhilov,M,20.0,169.0,54.0,Uzbekistan,UZB,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Flyweight, Freestyle",
Adkhamdzhon Akhilov,M,24.0,169.0,54.0,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Bantamweight, Freestyle",
Akhat Akhirov,M,26.0,,,Kazakhstan,KAZ,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Lightweight,
Sergey Akhirov,M,31.0,,,Kazakhstan,KAZ,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Half-Lightweight,
Mohamed Reza Akhlagh Pasand,M,25.0,160.0,55.0,Iran,IRI,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Singles,
Habibollah Jomeh Akhlaghi,M,26.0,175.0,90.0,Iran,IRI,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",
Habibollah Jomeh Akhlaghi,M,31.0,175.0,90.0,Iran,IRI,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",
Davoud Akhlagi Safa,M,20.0,168.0,67.0,Iran,IRI,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Road Race, Individual",
Davoud Akhlagi Safa,M,20.0,168.0,67.0,Iran,IRI,1964 Summer,1964,Summer,Tokyo,Cycling,Cycling Men's 100 kilometres Team Time Trial,
Murodzhon Kakharovich Akhmadaliyev,M,21.0,165.0,56.0,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Bantamweight,Bronze
Yerdos Zhaksimbinovich Akhmadiyev,M,28.0,180.0,72.0,Kazakhstan,KAZ,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,
Yerdos Zhaksimbinovich Akhmadiyev,M,28.0,180.0,72.0,Kazakhstan,KAZ,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
Artur Kamilevich Akhmatkhuzin,M,24.0,187.0,79.0,Russia,RUS,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Foil, Individual",
Artur Kamilevich Akhmatkhuzin,M,24.0,187.0,79.0,Russia,RUS,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Foil, Team",
Artur Kamilevich Akhmatkhuzin,M,28.0,187.0,79.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Individual",
Artur Kamilevich Akhmatkhuzin,M,28.0,187.0,79.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",Gold
Bakhtiyar Shakhabutdinovich Akhmedov,M,21.0,190.0,120.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
Ibad Amirovich Akhmedov,M,21.0,160.0,54.0,Belarus,BLR,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",
Lyutvi Dzhiber Akhmedov,M,30.0,184.0,87.0,Bulgaria,BUL,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Heavyweight, Freestyle",
Lyutvi Dzhiber Akhmedov,M,34.0,184.0,87.0,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
Shukhrat Akhmedov,M,33.0,,,Uzbekistan,UZB,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Air Pistol, 10 metres",
Shukhrat Akhmedov,M,33.0,,,Uzbekistan,UZB,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Free Pistol, 50 metres",
Leyla Begnyazovna Akhmerova,F,23.0,160.0,52.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,Bronze
Damir Akhmetbekov,M,21.0,170.0,70.0,Kazakhstan,KAZ,1996 Summer,1996,Summer,Atlanta,Diving,Diving Men's Platform,
Damir Akhmetbekov,M,25.0,170.0,70.0,Kazakhstan,KAZ,2000 Summer,2000,Summer,Sydney,Diving,Diving Men's Platform,
Sofia Akhmeteli,F,16.0,163.0,59.0,Georgia,GEO,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Women's Slalom,
Sofia Akhmeteli,F,20.0,163.0,59.0,Georgia,GEO,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Giant Slalom,
Sofia Akhmeteli,F,20.0,163.0,59.0,Georgia,GEO,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Slalom,
Bakhyt Beshimbekovich Akhmetov,M,21.0,175.0,105.0,Kyrgyzstan,KGZ,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Middle-Heavyweight,
Bakhyt Beshimbekovich Akhmetov,M,25.0,175.0,105.0,Kazakhstan,KAZ,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middle-Heavyweight,
Bakhyt Beshimbekovich Akhmetov,M,29.0,175.0,105.0,Kazakhstan,KAZ,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Heavyweight,
Rustam Fahimovych Akhmetov,M,22.0,185.0,74.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's High Jump,
Igor Vladimirovich Akhremchik,M,26.0,180.0,79.0,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxless Fours,Bronze
Nataliya Akhrimenko (-Petrova),F,25.0,184.0,90.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's Shot Put,
Nataliya Akhrimenko (-Petrova),F,33.0,184.0,90.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Shot Put,
Doli Akhtar,F,14.0,158.0,53.0,Bangladesh,BAN,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Breaststroke,
Doli Akhtar,F,18.0,158.0,53.0,Bangladesh,BAN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,
Doli Akhtar,F,22.0,158.0,53.0,Bangladesh,BAN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,
Gulraiz Akhtar,M,25.0,172.0,61.0,Pakistan,PAK,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Gold
Khaled Akhtar,M,42.0,185.0,85.0,Pakistan,PAK,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,
Muhammad Akhtar,M,29.0,167.0,62.0,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Featherweight, Freestyle",
Muhammad Akhtar,M,34.0,167.0,62.0,Pakistan,PAK,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Featherweight, Freestyle",
Naeem Akhtar,M,23.0,173.0,65.0,Pakistan,PAK,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold
Naeem Akhtar,M,27.0,173.0,65.0,Pakistan,PAK,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Men's Hockey,
Shabana Akhtar,F,24.0,160.0,51.0,Pakistan,PAK,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Long Jump,
Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,
Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Team All-Around,
Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Floor Exercise,
Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Horse Vault,
Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Uneven Bars,
Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Balance Beam,
Aleksandr Akhyun,M,19.0,,,Russia,RUS,1912 Summer,1912,Summer,Stockholm,Gymnastics,Gymnastics Men's Individual All-Around,
Allan Akia,M,23.0,168.0,66.0,Papua New Guinea,PNG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,
Tadahiro Akiba,M,20.0,173.0,68.0,Japan,JPN,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,
Takeshi Akiba,M,23.0,172.0,70.0,Japan,JPN,1968 Winter,1968,Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,
Takeshi Akiba,M,27.0,172.0,70.0,Japan,JPN,1972 Winter,1972,Winter,Sapporo,Ice Hockey,Ice Hockey Men's Ice Hockey,
Takeshi Akiba,M,31.0,172.0,70.0,Japan,JPN,1976 Winter,1976,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,
Mercy Akide (-Udoh),F,25.0,189.0,79.0,Nigeria,NGR,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,
Mercy Akide (-Udoh),F,28.0,189.0,79.0,Nigeria,NGR,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,
John Akii-Bua,M,22.0,188.0,77.0,Uganda,UGA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres Hurdles,Gold
John Akii-Bua,M,30.0,188.0,77.0,Uganda,UGA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres Hurdles,
John Akii-Bua,M,30.0,188.0,77.0,Uganda,UGA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,
Edward Akika,M,23.0,176.0,66.0,Nigeria,NGR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 110 metres Hurdles,
Masahiro Akimoto,M,23.0,175.0,63.0,Japan,JPN,1980 Winter,1980,Winter,Lake Placid,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
Masahiro Akimoto,M,23.0,175.0,63.0,Japan,JPN,1980 Winter,1980,Winter,Lake Placid,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",
Anatoly Ivanovich Akimov,M,24.0,181.0,84.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Water Polo,Water Polo Men's Water Polo,Gold
Andrey Aleksandrovich Akimov,M,21.0,166.0,66.0,Russia,RUS,1912 Summer,1912,Summer,Stockholm,Football,Football Men's Football,
Vladimir Ivanovich Akimov,M,27.0,184.0,80.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Water Polo,Water Polo Men's Water Polo,Gold
Erdoan Akn,M,,,,Turkey,TUR,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,
Oyeronke Akindele,F,22.0,166.0,55.0,Nigeria,NGR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 100 metres,
Oyeronke Akindele,F,22.0,166.0,55.0,Nigeria,NGR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 200 metres,
Oyeronke Akindele,F,22.0,166.0,55.0,Nigeria,NGR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 4 x 100 metres Relay,
Peter Akinlabi,M,27.0,168.0,59.0,Nigeria,NGR,2000 Summer,2000,Summer,Sydney,Table Tennis,Table Tennis Men's Singles,
Peter Akinlabi,M,30.0,168.0,59.0,Nigeria-2,NGR,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Doubles,
Morolake Akinosun,F,22.0,163.0,61.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Foluke Antinuke Akinradewo,F,24.0,191.0,79.0,United States,USA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Silver
Foluke Antinuke Akinradewo,F,28.0,191.0,79.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
"Omolade ""Lade"" Akinremi",F,21.0,158.0,60.0,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 400 metres Hurdles,
Kayode Akinsanya,M,20.0,,,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Men's Singles,
Kayode Akinsanya,M,20.0,,,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Mixed Doubles,
Henry Adetokunboh Akinwande,M,22.0,196.0,91.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Heavyweight,
Jonathan Akinyemi,M,23.0,188.0,85.0,Nigeria,NGR,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, Slalom",
Jonathan Akinyemi,M,27.0,188.0,85.0,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, Slalom",
Mary Akinyemi (-Akinkuowo),F,25.0,168.0,62.0,Nigeria,NGR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 400 metres,
Mary Akinyemi (-Akinkuowo),F,25.0,168.0,62.0,Nigeria,NGR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 400 metres Relay,
"Mildred Akinyi ""Milka"" Alango",F,19.0,157.0,49.0,Kenya,KEN,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Women's Flyweight,
Mobolaji Iyabode Akiode,F,22.0,178.0,75.0,Nigeria,NGR,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,
Erika Akiyama,F,19.0,156.0,44.0,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,
Erika Akiyama,F,23.0,156.0,44.0,Japan,JPN,1988 Summer,1988,Summer,Seoul,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,
Teruyoshi Akiyama,M,44.0,168.0,65.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",
Yasunari Akiyama,M,28.0,185.0,102.0,Japan,JPN,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",
Yoshiko Akiyama,F,22.0,153.0,,Japan,JPN,1972 Summer,1972,Summer,Munich,Archery,Archery Women's Individual,
Lahcen Samsam Akka,M,22.0,195.0,120.0,Morocco,MAR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Shot Put,
Lahcen Samsam Akka,M,30.0,195.0,120.0,Morocco,MAR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Shot Put,
Malika Al-Akkaoui,F,24.0,160.0,49.0,Morocco,MAR,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 800 metres,
Malika Al-Akkaoui,F,28.0,160.0,49.0,Morocco,MAR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 800 metres,
Malika Al-Akkaoui,F,28.0,160.0,49.0,Morocco,MAR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 1,500 metres",
Halil Akka,M,25.0,175.0,58.0,Turkey,TUR,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 3,000 metres Steeplechase",
Halil Akka,M,33.0,175.0,58.0,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 3,000 metres Steeplechase",
Khadzhimurat Magomedovich Akkayev,M,19.0,178.0,105.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
Khadzhimurat Magomedovich Akkayev,M,23.0,178.0,105.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
"Johannes ""Johs"" Akkerhaugen",M,33.0,184.0,80.0,Norway,NOR,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,
Marina Dazmirovna Akobiya,F,25.0,165.0,57.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Bronze
"Joshua Emmanuel ""Josh"" Akognon",M,30.0,189.0,83.0,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,
Eric Akogyiram,M,19.0,170.0,68.0,Ghana,GHA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,
Eric Akogyiram,M,23.0,170.0,68.0,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,
Eric Akogyiram,M,23.0,170.0,68.0,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,
Ayewoubo Akomatsri,M,24.0,168.0,54.0,Togo,TOG,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Bantamweight,
Alego Akomi,M,,,,Sudan,SUD,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Flyweight,
Boay Akonay,M,18.0,168.0,62.0,Tanzania,TAN,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 10,000 metres",
Aleksandr Akondinov,M,20.0,,,Russia,RUS,1912 Summer,1912,Summer,Stockholm,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",
Aulis Juhani Akonniemi,M,25.0,184.0,100.0,Finland,FIN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Shot Put,
Charles Kwablan Akonnor,M,22.0,186.0,68.0,Ghana,GHA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,
Ajtony kos,M,28.0,170.0,65.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Equestrianism,"Equestrianism Mixed Jumping, Individual",
Ajtony kos,M,28.0,170.0,65.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Equestrianism,"Equestrianism Mixed Jumping, Team",
Balkrishan Akotkar,M,27.0,171.0,57.0,India,IND,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Marathon,
Kossi Casimir Akoto,M,23.0,167.0,73.0,Togo,TOG,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,
Kossi Casimir Akoto,M,23.0,167.0,73.0,Togo,TOG,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,
Kossi Casimir Akoto,M,27.0,167.0,73.0,Togo,TOG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,
Kossi Casimir Akoto,M,27.0,167.0,73.0,Togo,TOG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,
Mavis Akoto,F,22.0,148.0,49.0,Ghana,GHA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,
Artur Vladimirovich Akoyev,M,26.0,,109.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Heavyweight II,Silver
Ime Akpan,F,24.0,165.0,50.0,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 100 metres Hurdles,
"Solomon Sunday Osayande ""Sonny Ba"" Akpata",M,27.0,185.0,72.0,Nigeria,NGR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Long Jump,
Daniel Akpeyi,M,30.0,187.0,80.0,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
Mehmet Akpnar,M,32.0,174.0,69.0,Turkey,TUR,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's Sabre, Individual",
Justina Akpulo,F,20.0,,,Nigeria,NGR,1992 Summer,1992,Summer,Barcelona,Handball,Handball Women's Handball,
Maria Helene Akraka (-Henriksson),F,26.0,170.0,55.0,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Women's 1,500 metres",
Smart Ekiyegha-Akraka,M,26.0,170.0,64.0,Nigeria,NGR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 4 x 100 metres Relay,
Ahmed Akram Abbas Mahmoud,M,19.0,188.0,80.0,Egypt,EGY,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 400 metres Freestyle,
Ahmed Akram Abbas Mahmoud,M,19.0,188.0,80.0,Egypt,EGY,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,"Swimming Men's 1,500 metres Freestyle",
Muhammad Akram,M,29.0,180.0,72.0,Pakistan,PAK,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Single Sculls,
Nashat Akram Abid Ali,M,19.0,182.0,75.0,Iraq,IRQ,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,
Aristidis Akratopoulos,M,,,,Greece,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Singles,
Aristidis Akratopoulos,M,,,,Greece-3,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Doubles,
"Konstantinos ""Kostas"" Akratopoulos",M,,,,Greece,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Singles,
"Konstantinos ""Kostas"" Akratopoulos",M,,,,Greece-3,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Doubles,
Sigurd Olav Akre-Aas,M,26.0,,,Norway,NOR,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Foil, Individual",
Sigurd Olav Akre-Aas,M,26.0,,,Norway,NOR,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's epee, Individual",
Sigurd Olav Akre-Aas,M,26.0,,,Norway,NOR,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's epee, Team",
Sigurd Olav Akre-Aas,M,26.0,,,Norway,NOR,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Sabre, Individual",
Sigurd Olav Akre-Aas,M,30.0,,,Norway,NOR,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's Foil, Team",
Sigurd Olav Akre-Aas,M,30.0,,,Norway,NOR,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's epee, Individual",
Sigurd Olav Akre-Aas,M,30.0,,,Norway,NOR,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's epee, Team",
Sigurd Olav Akre-Aas,M,30.0,,,Norway,NOR,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's Sabre, Individual",
Simo Huvi Akrenius,M,23.0,182.0,83.0,Finland,FIN,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Middleweight,
Varvara Akritidou,F,23.0,173.0,78.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Half-Heavyweight,
Youssef Akrout,M,21.0,180.0,78.0,Tunisia,TUN,2012 Summer,2012,Summer,London,Sailing,Sailing Men's One Person Dinghy,
Youssef Akrout,M,25.0,180.0,78.0,Tunisia,TUN,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's One Person Dinghy,
Monica Aksamit,F,26.0,183.0,74.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",Bronze
Anastasiya Sergeyevna Aksenova,F,18.0,182.0,65.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,
Anastasiya Sergeyevna Aksenova,F,18.0,182.0,65.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Freestyle,
Anastasiya Sergeyevna Aksenova,F,18.0,182.0,65.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
Anastasiya Sergeyevna Aksenova,F,18.0,182.0,65.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
Liudmyla Vasylivna Aksenova (Shapovalova-),F,29.0,165.0,58.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 400 metres,
Liudmyla Vasylivna Aksenova (Shapovalova-),F,29.0,165.0,58.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
Merey Akshalov,M,20.0,179.0,60.0,Kazakhstan,KAZ,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Lightweight,
Aleksandr Timofeyevich Aksinin,M,21.0,173.0,67.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,
Aleksandr Timofeyevich Aksinin,M,21.0,173.0,67.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Aleksandr Timofeyevich Aksinin,M,25.0,173.0,67.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,
Aleksandr Timofeyevich Aksinin,M,25.0,173.0,67.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Viktor Aksonov,M,23.0,185.0,79.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Javelin Throw,
Ltf Aksoy,M,25.0,,,Turkey,TUR,1936 Summer,1936,Summer,Berlin,Football,Football Men's Football,
Bekir Aksu,M,,186.0,97.0,Turkey,TUR,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",
Semra Aksu (-Bayan),F,22.0,184.0,75.0,Turkey,TUR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 100 metres,
Semra Aksu (-Bayan),F,22.0,184.0,75.0,Turkey,TUR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 200 metres,
Semra Aksu (-Bayan),F,22.0,184.0,75.0,Turkey,TUR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 100 metres Hurdles,
